Timeline ID,Game ID,Timeline Order,Section,Type,Name,Requirement,Available After,Travel Zone,Instructions,Why Now?,Status,Verified,Source 1,Source 2,Research Notes,App Notes
T0001,M001,1,Broker Opening,Mission,The Cousins Bellic,Story,Start,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0002,M002,2,Broker Opening,Mission,It's Your Call,Story,M001,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0003,RC001,3,Broker Opening,Random Character,Brian Meech – First Encounter,100%,M002,Broker,Complete this Brian encounter when the blue person icon appears.,"The Steam linear checklist places Brian's three encounters immediately after It's Your Call, while you are still concentrated in Broker.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Brian's three encounters are required for 100%. Allow in-game time between encounters if the next icon does not appear immediately.,
T0004,RC002,4,Broker Opening,Random Character,Brian Meech – Second Encounter,100%,RC001,Broker,Complete this Brian encounter when the blue person icon appears.,"The Steam linear checklist places Brian's three encounters immediately after It's Your Call, while you are still concentrated in Broker.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Brian's three encounters are required for 100%. Allow in-game time between encounters if the next icon does not appear immediately.,
T0005,RC003,5,Broker Opening,Random Character,Brian Meech – Third Encounter,100%,RC002,Broker,Complete this Brian encounter when the blue person icon appears.,"The Steam linear checklist places Brian's three encounters immediately after It's Your Call, while you are still concentrated in Broker.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Brian's three encounters are required for 100%. Allow in-game time between encounters if the next icon does not appear immediately.,
T0006,M003,6,Broker Opening,Mission,Three's a Crowd,Story,M002,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0007,M004,7,Broker Opening,Mission,Bleed Out,Story,M003,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0008,M005,8,Broker Opening,Mission,First Date,Story,M003,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0009,ACT001,9,Broker Opening,Activity,Win a full game of Bowling,100%,M005,Broker,Call Roman or go on an activity and win one full game of bowling.,This is the earliest convenient point to clear the global bowling requirement while social activities are active.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,The global 100% requirement only needs one full bowling win; Roman himself is not a required friend for 100%.,
T0010,ACT002,10,Broker Opening,Activity,Win a game of Pool,100%,M005,Broker,Win one game of pool against a friend or date.,"Pool is available through early social activities, so clearing it now avoids endgame cleanup.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
